Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,hibrido_01_imagem_1mb,2939,0,170,209.26230193331799,25.206396999237768,969.3655149994811,1048576.0,24.63051780205896,0.0,170,220,260,300,390,480,580,720,870,970,970
GET,hibrido_02_texto_400kb,2869,0,1600,1685.0250020456615,470.76896199996554,5438.455659000283,487649.0,24.043877364446125,0.0,1600,1800,2000,2100,2300,2700,3200,3600,5100,5400,5400
GET,hibrido_03_imagem_300kb,2868,0,120,147.02195311088423,12.236947000019427,856.3443269995332,307200.0,24.03549678676594,0.0,120,150,180,200,280,360,470,520,750,860,860
,Aggregated,8676,0,220,676.6963575118795,12.236947000019427,5438.455659000283,618012.8452051637,72.70989195327103,0.0,220,570,1300,1500,1900,2200,2600,2900,4400,5400,5400
