Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb_01_post,3833,0,2200,2284.390866885427,481.1214880010084,6087.8603710007155,30487.0,32.199343052589825,0.0,2200,2500,2600,2700,3000,3300,3700,4100,5200,6100,6100
GET,imagem_1mb_02_arquivo,3830,0,230,277.4143673673687,23.268946000825963,3363.5406190005597,1048576.0,32.17414137527238,0.0,230,290,330,370,460,590,1000,1400,1800,3400,3400
,Aggregated,7663,0,1100,1281.2954743297437,23.268946000825963,6087.8603710007155,539332.2133629126,64.37348442786221,0.0,1100,2000,2200,2400,2700,3000,3400,3700,4900,6100,6100
