Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,hibrido_01_imagem_1mb,3411,76,1300,1344.9658960615627,3.1286670000554295,2939.3746619998637,1025212.8290823805,28.4059424546989,0.632908714909738,1300,1500,1600,1700,1900,2100,2300,2400,2800,2900,2900
GET,hibrido_02_texto_400kb,3246,62,5800,5690.710077492915,2.2653309997622273,9484.231144999285,478334.69377695624,27.031864323644864,0.5163202674263653,5800,6200,6400,6500,6900,7200,7700,7900,8700,9500,9500
GET,hibrido_03_imagem_300kb,3222,69,1200,1244.217626603346,2.2606279999308754,2554.518936000022,300621.2290502793,26.831998413673368,0.5746144911680516,1200,1400,1500,1500,1600,1800,2000,2100,2300,2600,2600
,Aggregated,9879,207,1500,2740.0134402190515,2.2606279999308754,9484.231144999285,609199.0055673651,82.26980519201713,1.7238434735041548,1500,2100,5100,5500,6200,6700,7100,7500,8400,9500,9500
