Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,texto_400kb_01_post,2535,0,290,327.30594815582776,136.8486640003539,1056.1637509999855,487649.0,21.266330781296855,0.0,290,340,390,420,520,600,710,750,990,1100,1100
,Aggregated,2535,0,290,327.30594815582776,136.8486640003539,1056.1637509999855,487649.0,21.266330781296855,0.0,290,340,390,420,520,600,710,750,990,1100,1100
