Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb_01_post,2416,0,350,379.1304825331153,130.09435400090297,1196.2111240009108,30487.0,20.22542931975276,0.0,350,410,460,490,580,670,780,830,1100,1200,1200
GET,imagem_1mb_02_arquivo,2414,0,58,65.98568083556368,14.11524299874145,549.863775000631,1048576.0,20.20868641468674,0.0,58,71,80,87,110,130,170,190,260,550,550
,Aggregated,4830,0,180,222.62291497661633,14.11524299874145,1196.2111240009108,539320.7155279503,40.434115734439494,0.0,180,290,350,380,490,580,690,780,1000,1200,1200
