Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb_01_post,3873,0,4800,4824.353505177903,1191.426864001187,8589.768133000689,30487.0,32.48116487810211,0.0,4800,5200,5400,5600,6000,6400,6800,7200,8500,8600,8600
GET,imagem_1mb_02_arquivo,3867,0,950,973.6319173891985,78.16349700078717,4203.963083999042,1048576.0,32.43084549021969,0.0,950,1100,1200,1300,1500,1700,1900,2300,3000,4200,4200
,Aggregated,7740,0,2200,2900.48523903076,78.16349700078717,8589.768133000689,539136.8918604652,64.9120103683218,0.0,2200,4400,4800,5000,5600,6000,6500,6800,8100,8600,8600
