Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,normal_texto_400kb,4478,0,3100,3151.6709403139735,408.110700999714,7361.310508000315,487649.0,37.53879193156863,0.0,3100,3300,3500,3700,4100,4700,5500,5900,6800,7400,7400
,Aggregated,4478,0,3100,3151.6709403139735,408.110700999714,7361.310508000315,487649.0,37.53879193156863,0.0,3100,3300,3500,3700,4100,4700,5500,5900,6800,7400,7400
