Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,hibrido_01_imagem_1mb,1271,0,780,879.858706361934,220.6885230007174,3123.9082550000603,30641.0,10.633594170428468,0.0,780,910,1000,1100,1400,1600,1900,2200,3100,3100,3100
GET,hibrido_02_texto_400kb,1264,0,860,961.3500155727837,224.40098300012323,3106.901658999959,487649.0,10.575029922440269,0.0,860,1000,1100,1200,1500,1800,2100,2400,3100,3100,3100
GET,hibrido_03_imagem_300kb,1254,0,790,887.3256456778565,260.3911899996092,2941.5191680000135,30426.0,10.491366711028558,0.0,790,900,1000,1100,1400,1600,2100,2300,2700,2900,2900
,Aggregated,3789,0,810,909.5152270124188,220.6885230007174,3123.9082550000603,183026.45843230403,31.699990803897297,0.0,810,940,1100,1100,1400,1700,2000,2300,3100,3100,3100
