Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,hibrido_01_imagem_1mb,3316,0,310,418.8396022367296,29.820375999861426,2358.7441220001892,1048576.0,27.786062293655334,0.0,310,440,530,610,850,1100,1600,1800,2100,2400,2400
GET,hibrido_02_texto_400kb,3169,0,4500,4516.886562985796,1406.197112999962,8510.898849999649,487649.0,26.55429173962417,0.0,4500,4900,5100,5300,5700,6000,6500,6900,8000,8500,8500
GET,hibrido_03_imagem_300kb,3164,0,270,344.02875507016074,15.399377999983699,2117.0279709999704,307200.0,26.512394782004062,0.0,270,360,420,480,640,830,1100,1600,2000,2100,2100
,Aggregated,9649,0,470,1740.2210198114797,15.399377999983699,8510.898849999649,621247.6419318065,80.85274881528356,0.0,470,1500,3900,4300,5000,5400,5900,6200,7500,8500,8500
