Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_300kb_01_post,4062,0,2100,2125.0190092215594,462.9656149991206,4684.626930000377,30166.0,33.90827046199703,0.0,2100,2300,2500,2600,2800,3100,3400,3600,4400,4700,4700
GET,imagem_300kb_02_arquivo,4035,0,150,207.96727669142706,12.290280999877723,1654.9994199995126,307200.0,33.68288313987149,0.0,150,210,260,300,420,530,760,1100,1600,1700,1700
,Aggregated,8097,0,980,1169.6894129810926,12.290280999877723,4684.626930000377,168221.1055946647,67.59115360186853,0.0,980,1900,2100,2200,2600,2800,3200,3400,4400,4700,4700
