Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,normal_texto_400kb,4577,0,11000,10560.945075893349,1723.5171239999545,13811.193114000162,487649.0,38.10860790711043,0.0,11000,11000,12000,12000,12000,12000,13000,13000,13000,14000,14000
,Aggregated,4577,0,11000,10560.945075893349,1723.5171239999545,13811.193114000162,487649.0,38.10860790711043,0.0,11000,11000,12000,12000,12000,12000,13000,13000,13000,14000,14000
